Year,Sex,Value,M49_country_code
2007,,3.040621,KGZ
2008,,2.8227,KGZ
2009,,2.53626,KGZ
2010,,2.581546,KGZ
2011,,2.452673,KGZ
2012,,2.4,KGZ
2013,,2.365496,KGZ
2014,,2.325931,KGZ
2015,,2.201387,KGZ
2016,,2.181767,KGZ
2017,,2.280168,KGZ
2018,,2.791516,KGZ
2019,,2.945501,KGZ
2020,,2.953405,KGZ
2021,,2.8,KGZ
2007,Female,3.617864,KGZ
2008,Female,3.288586,KGZ
2009,Female,3.057784,KGZ
2010,Female,3.25141,KGZ
2011,Female,3.050403,KGZ
2012,Female,3.0,KGZ
2013,Female,3.022166,KGZ
2014,Female,2.924691,KGZ
2015,Female,2.851356,KGZ
2016,Female,2.875583,KGZ
2017,Female,2.965272,KGZ
2018,Female,3.612611,KGZ
2019,Female,3.684217,KGZ
2020,Female,3.525257,KGZ
2021,Female,3.3,KGZ
2007,Male,2.618787,KGZ
2008,Male,2.471303,KGZ
2009,Male,2.153339,KGZ
2010,Male,2.099174,KGZ
2011,Male,2.022851,KGZ
2012,Male,2.0,KGZ
2013,Male,1.920636,KGZ
2014,Male,1.902712,KGZ
2015,Male,1.749646,KGZ
2016,Male,1.708779,KGZ
2017,Male,1.84019,KGZ
2018,Male,2.276337,KGZ
2019,Male,2.479511,KGZ
2020,Male,2.584061,KGZ
2021,Male,2.5,KGZ
