Year,Reference area,GeoCode,Value,M49_country_code
2007,,,131.547158,KGZ
2008,,,120.913387,KGZ
2009,,,92.628335,KGZ
2010,,,127.019995,KGZ
2011,,,103.485746,KGZ
2012,,,104.494474,KGZ
2013,,,101.769602,KGZ
2014,,,113.857081,KGZ
2015,,,95.794976,KGZ
2016,,,94.980194,KGZ
2017,,,102.713332,KGZ
2018,,,97.394314,KGZ
2019,,,105.744831,KGZ
2020,,,109.72213,KGZ
2021,,,111.179032,KGZ
2007,Batken,KG05,129.740223,KGZ
2008,Batken,KG05,122.152556,KGZ
2009,Batken,KG05,98.079552,KGZ
2010,Batken,KG05,134.872599,KGZ
2011,Batken,KG05,108.143261,KGZ
2012,Batken,KG05,104.669453,KGZ
2013,Batken,KG05,103.067841,KGZ
2014,Batken,KG05,113.826871,KGZ
2015,Batken,KG05,92.841081,KGZ
2016,Batken,KG05,95.516291,KGZ
2017,Batken,KG05,104.587578,KGZ
2018,Batken,KG05,94.575897,KGZ
2019,Batken,KG05,110.412587,KGZ
2020,Batken,KG05,108.449054,KGZ
2021,Batken,KG05,113.692361,KGZ
2007,Jalal-Abad,KG03,131.474644,KGZ
2008,Jalal-Abad,KG03,133.108773,KGZ
2009,Jalal-Abad,KG03,94.285732,KGZ
2010,Jalal-Abad,KG03,133.48734,KGZ
2011,Jalal-Abad,KG03,105.19525,KGZ
2012,Jalal-Abad,KG03,104.995426,KGZ
2013,Jalal-Abad,KG03,103.702848,KGZ
2014,Jalal-Abad,KG03,118.268743,KGZ
2015,Jalal-Abad,KG03,94.347779,KGZ
2016,Jalal-Abad,KG03,95.233819,KGZ
2017,Jalal-Abad,KG03,103.296213,KGZ
2018,Jalal-Abad,KG03,99.437848,KGZ
2019,Jalal-Abad,KG03,106.897463,KGZ
2020,Jalal-Abad,KG03,109.90983,KGZ
2021,Jalal-Abad,KG03,114.888541,KGZ
2007,Issyk-Kul,KG02,136.022851,KGZ
2008,Issyk-Kul,KG02,116.499725,KGZ
2009,Issyk-Kul,KG02,90.4746,KGZ
2010,Issyk-Kul,KG02,126.103007,KGZ
2011,Issyk-Kul,KG02,99.413814,KGZ
2012,Issyk-Kul,KG02,105.487767,KGZ
2013,Issyk-Kul,KG02,96.74539,KGZ
2014,Issyk-Kul,KG02,119.674506,KGZ
2015,Issyk-Kul,KG02,92.938571,KGZ
2016,Issyk-Kul,KG02,97.869284,KGZ
2017,Issyk-Kul,KG02,103.318964,KGZ
2018,Issyk-Kul,KG02,97.328443,KGZ
2019,Issyk-Kul,KG02,106.659795,KGZ
2020,Issyk-Kul,KG02,108.406065,KGZ
2021,Issyk-Kul,KG02,110.910602,KGZ
2007,Naryn,KG04,129.698247,KGZ
2008,Naryn,KG04,110.814902,KGZ
2009,Naryn,KG04,92.921575,KGZ
2010,Naryn,KG04,133.150078,KGZ
2011,Naryn,KG04,103.232521,KGZ
2012,Naryn,KG04,107.926877,KGZ
2013,Naryn,KG04,98.290589,KGZ
2014,Naryn,KG04,114.563967,KGZ
2015,Naryn,KG04,98.213637,KGZ
2016,Naryn,KG04,94.459452,KGZ
2017,Naryn,KG04,100.774043,KGZ
2018,Naryn,KG04,101.660059,KGZ
2019,Naryn,KG04,106.016926,KGZ
2020,Naryn,KG04,109.401619,KGZ
2021,Naryn,KG04,113.022339,KGZ
2007,Osh,KG06,130.503251,KGZ
2008,Osh,KG06,132.389129,KGZ
2009,Osh,KG06,91.207604,KGZ
2010,Osh,KG06,133.714976,KGZ
2011,Osh,KG06,103.635522,KGZ
2012,Osh,KG06,106.985188,KGZ
2013,Osh,KG06,104.5544,KGZ
2014,Osh,KG06,118.553298,KGZ
2015,Osh,KG06,93.999692,KGZ
2016,Osh,KG06,94.914537,KGZ
2017,Osh,KG06,109.47206,KGZ
2018,Osh,KG06,96.104604,KGZ
2019,Osh,KG06,107.312397,KGZ
2020,Osh,KG06,107.711557,KGZ
2021,Osh,KG06,110.668162,KGZ
2007,Talas,KG07,131.559431,KGZ
2008,Talas,KG07,117.520012,KGZ
2009,Talas,KG07,90.950636,KGZ
2010,Talas,KG07,123.024848,KGZ
2011,Talas,KG07,105.793162,KGZ
2012,Talas,KG07,102.033354,KGZ
2013,Talas,KG07,100.612627,KGZ
2014,Talas,KG07,116.089417,KGZ
2015,Talas,KG07,93.146935,KGZ
2016,Talas,KG07,92.497165,KGZ
2017,Talas,KG07,104.166923,KGZ
2018,Talas,KG07,96.802565,KGZ
2019,Talas,KG07,106.172057,KGZ
2020,Talas,KG07,111.789216,KGZ
2021,Talas,KG07,111.407088,KGZ
2007,Chui,KG08,130.314372,KGZ
2008,Chui,KG08,123.411415,KGZ
2009,Chui,KG08,94.365695,KGZ
2010,Chui,KG08,128.672851,KGZ
2011,Chui,KG08,102.493938,KGZ
2012,Chui,KG08,103.92528,KGZ
2013,Chui,KG08,102.312574,KGZ
2014,Chui,KG08,114.643974,KGZ
2015,Chui,KG08,95.710818,KGZ
2016,Chui,KG08,95.89276,KGZ
2017,Chui,KG08,102.559508,KGZ
2018,Chui,KG08,96.302209,KGZ
2019,Chui,KG08,105.8531,KGZ
2020,Chui,KG08,111.39254,KGZ
2021,Chui,KG08,109.493892,KGZ
2007,Bishkek (city),KG11,131.950406,KGZ
2008,Bishkek (city),KG11,117.83137,KGZ
2009,Bishkek (city),KG11,92.340833,KGZ
2010,Bishkek (city),KG11,123.722482,KGZ
2011,Bishkek (city),KG11,103.406938,KGZ
2012,Bishkek (city),KG11,103.832086,KGZ
2013,Bishkek (city),KG11,101.221964,KGZ
2014,Bishkek (city),KG11,110.997582,KGZ
2015,Bishkek (city),KG11,97.00121,KGZ
2016,Bishkek (city),KG11,94.519576,KGZ
2017,Bishkek (city),KG11,101.578366,KGZ
2018,Bishkek (city),KG11,97.346546,KGZ
2019,Bishkek (city),KG11,105.61571,KGZ
2020,Bishkek (city),KG11,110.449192,KGZ
2021,Bishkek (city),KG11,110.97186,KGZ
2007,Osh (city),KG21,130.503251,KGZ
2008,Osh (city),KG21,132.389129,KGZ
2009,Osh (city),KG21,91.207604,KGZ
2010,Osh (city),KG21,133.714976,KGZ
2011,Osh (city),KG21,103.635522,KGZ
2012,Osh (city),KG21,106.985188,KGZ
2013,Osh (city),KG21,104.5544,KGZ
2014,Osh (city),KG21,118.553298,KGZ
2015,Osh (city),KG21,93.999692,KGZ
2016,Osh (city),KG21,94.914537,KGZ
2017,Osh (city),KG21,103.95699,KGZ
2018,Osh (city),KG21,98.011361,KGZ
2019,Osh (city),KG21,102.470488,KGZ
2020,Osh (city),KG21,106.898265,KGZ
2021,Osh (city),KG21,110.008559,KGZ
